,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,timeToMarket,start,end,percent,PE,PB,dividend
33,002019,亿帆医药,0.87,648.71,,34.35,,23790.92,829.0,,01-31,20040713.0,8.256,8.852,7.21899224806,10.1747126437,,114.835973154
2,000908,景峰医药,0.55,4483.33,,27.86,,25102.93,7350.94,,01-28,19990203.0,7.803,12.945,65.8977316417,23.5363636364,,111.550728938
0,600485,信威集团,0.67,529.16,,28.93,,181238.65,12142.6,,04-30,20030807.0,20.479,43.285,111.362859515,64.6044776119,,109.036352451
3244,600610,中毅达,0.09,-190.0,0.94,21.0,,9995.36,-380.32,10送4转20,04-28,19920805.0,8.261,7.92,-4.12782956059,88.0,8.42553191489,92.1355870967
3102,600543,莫高股份,0.05,-119.23,,1.62,,1710.34,-120.67,,04-25,20040324.0,9.078,8.958,-1.32187706543,179.16,,91.2868550002
12,000416,民生控股,0.17,1867.86,,10.08,,8792.69,1870.05,10派0.5,03-05,19960719.0,6.711,8.109,20.8314707197,47.7,,89.7704259657
2416,002499,科林环保,0.08,-33.33,,1.61,,1076.07,-19.68,,04-18,20101109.0,15.471,15.437,-0.219766013832,192.9625,,89.5497882354
16,600145,*ST新亿,-4.07,1669.57,,,,-153743.17,1669.63,,04-29,19990923.0,0.97,1.157,19.2783505155,-0.284275184275,,86.6064759357
58,300148,天舟文化,0.39,200.0,5.01,9.51,0.5,11825.77,481.86,,04-10,20101215.0,8.929,9.458,5.92451562325,24.2512820513,1.8878243513,81.33323138
3129,002316,键桥通讯,0.05,-135.71,,2.29,,1901.48,-135.34,10派0.1,04-16,20091209.0,8.815,8.665,-1.70164492343,173.3,,79.5348066665
4,600483,福能股份,0.73,942.86,,17.45,,79539.92,3608.54,10派2,03-26,20040531.0,6.169,8.972,45.436861728,12.2904109589,,79.4187772387
3030,600225,*ST松江,0.02,-104.35,,1.42,,1332.44,-104.61,,04-29,20000127.0,7.41,7.31,-1.34952766532,365.5,,77.5160099998
3323,002069,獐子岛,-1.67,-1292.86,,-67.69,,-118932.75,-1326.83,,04-28,20060928.0,14.447,11.9,-17.6299577767,-7.12574850299,,75.2599647036
3108,300029,天龙光电,0.15,-122.67,2.98,5.1,0.2,2947.32,-122.66,,04-25,20091225.0,8.21,8.06,-1.82704019488,53.7333333333,2.70469798658,67.1359066668
3252,000893,东凌国际,-1.16,-303.51,,-59.67,,-47140.87,-423.89,,03-14,19981224.0,11.44,10.67,-6.73076923077,-9.19827586207,,62.9779428571
487,300274,阳光电源,0.43,-23.21,3.6,13.04,0.02,28328.64,56.48,,04-15,20111102.0,8.803,8.885,0.931500624787,20.6627906977,2.46805555556,60.6333463415
179,300076,GQY视讯,0.09,28.57,5.08,1.82,0.16,1956.46,162.73,,04-24,20100430.0,6.327,6.497,2.68689742374,72.1888888889,1.27893700787,60.5642770588
863,600885,宏发股份,0.81,17.39,,18.02,,42986.94,30.98,10派3,03-27,19960205.0,18.18,18.298,0.649064906491,22.5901234568,,47.7302033898
3322,002052,同洲电子,-0.61,-1320.0,,-39.51,,-41675.76,-1320.14,,04-24,20060627.0,12.68,9.12,-28.0757097792,-14.9508196721,,47.0207168539
15,300049,福瑞股份,0.7,1650.0,6.43,11.26,0.39,8723.53,1678.36,10派2转10,04-25,20100120.0,11.745,16.038,36.5517241379,22.9114285714,2.49424572317,45.9173962265
2893,000982,*ST中绒,0.05,-87.18,,2.37,,8713.22,-69.01,,04-25,20000706.0,4.711,4.64,-1.50711101677,92.8,,45.7895929577
6,000681,视觉中国,0.23,1074.0,,14.92,,14176.85,3079.58,,02-16,19970121.0,12.43,20.98,68.7851971038,91.2173913043,,44.7709700585
61,300032,金龙机电,0.4,471.43,5.47,11.49,0.27,11656.46,450.84,,03-27,20091225.0,8.27,9.112,10.1813784764,22.78,1.66581352834,44.2808408552
175,000799,酒鬼酒,-0.3,165.72,,-5.68,,-9747.53,165.72,,04-24,19970718.0,14.037,14.574,3.82560376149,-48.58,,43.3186525139
3117,002234,民和股份,0.21,-125.93,,5.4,,6268.81,-125.54,,03-20,20080516.0,8.96,8.7,-2.90178571429,41.4285714286,,43.2630153846
3233,300189,神农基因,-0.22,-243.9,3.04,-6.83,0.11,-8847.71,-330.31,,04-16,20110316.0,2.943,2.697,-8.35881753313,-12.2590909091,0.887171052632,39.516354878
3139,600209,罗顿发展,0.02,-137.35,,1.29,,926.46,-137.38,10派0.065,03-10,19990325.0,9.531,9.191,-3.56730668345,459.55,,38.5108464706
3177,000428,华天酒店,-0.14,-182.35,2.14,-6.2,,-9884.15,-182.88,,04-24,19960808.0,6.127,5.82,-5.01060878081,-41.5714285714,2.71962616822,36.4985589576
17,600398,海澜之家,0.54,145.45,,40.63,,237477.21,1575.5,10派3.8,03-03,20001228.0,6.275,9.156,45.9123505976,16.9555555556,,34.3153852829
777,002376,新北洋,0.51,34.21,,18.08,,30643.56,34.97,,04-21,20100323.0,10.547,10.655,1.02398786385,20.8921568627,,34.1507953703
9,002346,柘中股份,0.19,533.33,,6.06,,8441.51,2026.94,,04-29,20100128.0,6.187,9.949,60.8049135284,52.3631578947,,33.3351349814
29,600826,兰生股份,1.26,930.38,,20.54,,52794.84,930.69,10派3.8,03-14,19940204.0,14.431,18.464,27.9467812348,14.653968254,,33.3022251178
14,600565,迪马股份,0.32,540.0,,14.37,,61540.7,1711.06,10派0.3,03-04,20020723.0,3.299,5.02,52.1673234313,15.6875,,32.7994592679
13,600756,浪潮软件,0.28,1305.0,,9.61,,7827.6,1761.82,,03-18,19960923.0,13.035,20.241,55.2819332566,72.2892857143,,31.8697248127
3221,600771,广誉远,0.15,-287.5,,55.71,,3664.64,-287.32,,03-10,19961105.0,25.85,23.49,-9.12959381044,156.6,,31.471279661
1113,002410,广联达,0.79,-12.97,,22.84,,59609.6,22.06,,03-26,20100525.0,14.173,14.273,0.705566923023,18.0670886076,,31.265638
48,600766,园城黄金,0.06,500.0,,43.15,,1393.26,574.64,,03-17,19961028.0,9.74,11.55,18.5831622177,192.5,,30.9226165745
39,600141,兴发集团,1.04,643.14,,12.23,,49431.1,713.54,10派2,03-10,19990616.0,12.002,14.808,23.3794367605,14.2384615385,,30.5199824662
3203,600689,上海三毛,0.3,-230.43,2.02,16.46,,6000.74,-227.18,,02-17,19931108.0,8.83,8.17,-7.4745186863,27.2333333333,4.04455445545,30.393930303
