code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
000528,柳工,0.22,1424.65,,2.73,,24358.78,1423.65,,08-29
600067,冠城大通,0.34,1600.0,,7.26,,51123.9,1392.93,,08-25
300340,科恒股份,0.52,1157.56,,4.61,,6077.3,1380.5,,08-25
002383,合众思壮,0.07,294.25,,1.43,,5028.92,1365.15,,08-08
300391,康跃科技,0.19,1262.5,,5.98,,3282.49,1343.9,,08-29
300093,金刚玻璃,0.04,,,1.06,,932.14,1341.83,,08-29
300122,智飞生物,0.11,1000.0,,6.6,,17179.01,1326.96,,08-15
000697,炼石有色,-0.26,1303.78,,-10.71,,-14532.85,1304.8,,08-30
600466,蓝光发展,0.12,1266.67,,2.51,,28326.36,1272.79,,08-30
600390,五矿资本,0.31,86.97,,3.68,,99810.62,1234.21,,08-30
600615,丰华股份,0.54,1217.07,,18.94,,10146.67,1216.78,,07-29
002057,中钢天源,0.23,1006.73,,6.12,,5417.42,1208.79,,08-28
601600,中国铝业,0.05,24900.0,,1.98,,75131.3,1207.81,,08-18
300081,恒信东方,0.13,1200.0,,3.71,,6131.61,1193.81,,08-25
000822,山东海化,0.38,1166.67,,14.58,,33725.95,1173.96,,08-04
000060,中金岭南,0.25,1150.0,,6.95,,55207.97,1167.74,10派0.3,08-28
000597,东北制药,0.08,700.0,,1.68,,3969.47,1162.03,,08-29
600393,粤泰股份,0.36,350.0,,17.25,,91180.26,1143.32,,07-29
002061,江山化工,0.32,966.67,,8.94,,19494.65,1121.64,,08-15
002215,诺普信,0.26,1200.0,,13.51,,23472.25,1105.1,,08-23
000878,云南铜业,0.09,1037.5,,2.23,,12864.78,1099.75,,08-25
300337,银邦股份,0.03,1096.43,,1.78,,2752.29,1077.86,,08-18
000657,中钨高新,0.09,1066.25,,1.95,,5865.56,1072.39,,08-31
600628,新世界,0.56,833.33,,8.69,,36212.38,1017.35,,08-30
600971,恒源煤电,0.63,952.33,,10.27,,63136.86,1011.71,,08-19
300338,开元股份,0.19,831.5,,3.91,,5510.85,992.84,,08-28
603299,井神股份,0.14,987.85,,3.84,,7662.23,988.05,,08-30
002591,恒大高新,-0.04,951.22,,-1.45,,-1152.23,981.32,,08-22
600186,莲花健康,-0.06,971.7,,-56.13,,-6029.93,980.18,,08-31
