,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,timeToMarket,start,end,percent,PE,PB,dividend
116,002083,孚日股份,0.34,325.0,,10.77,,31079.64,325.04,,03-31,20061124.0,4.587,7.55,64.5955962503,22.2058823529,,5.03192197097
1097,600787,中储股份,0.36,21.94,,10.34,,66625.67,21.94,10派0.32,03-16,19970121.0,9.545,9.962,4.36877946569,27.6722222222,,5.02199760192
290,600218,全柴动力,0.22,69.23,,5.27,,7703.02,115.9,10派0.7,03-30,19981203.0,10.844,13.356,23.1648838067,60.7090909091,,5.00326273886
179,000882,华联股份,0.1,197.01,,3.66,,22089.23,197.22,10派0.64,04-09,19980616.0,4.0,5.577,39.425,55.77,,5.00240963855
2939,601600,中国铝业,0.01,-100.83,,0.61,,20631.9,-101.27,,03-18,20070430.0,6.25,4.97,-20.48,497.0,,4.94482421875
1023,600617,国新能源,0.53,-27.46,,22.28,,54217.44,24.62,10派1.5,04-12,19921013.0,14.412,15.132,4.99583680266,28.5509433962,,4.92810333334
2349,000402,金融街,0.75,-22.68,,9.03,,225318.55,-23.03,10派4,04-30,19960626.0,11.224,10.697,-4.69529579473,14.2626666667,,4.90490929791
70,600299,安迪苏,0.58,23.4,,17.6,,152865.11,527.8,,04-14,20000420.0,8.743,18.165,107.76621297,31.3189655172,,4.89763893018
265,600326,西藏天路,0.26,116.67,,10.81,,14626.75,129.6,10派0.5,03-29,20010116.0,6.765,8.568,26.6518847007,32.9538461538,,4.86269550748
2478,300386,飞天诚信,0.88,-71.7,,12.65,,18358.27,-30.56,,03-30,20140626.0,26.13,24.478,-6.32223497895,27.8159090909,,4.83373365618
3011,000612,焦作万方,-0.05,-117.38,,-1.32,,-6252.3,-117.54,,04-29,19960926.0,9.812,7.413,-24.4496534855,-148.26,,4.80743009588
49,002099,海翔药业,0.71,407.14,,14.52,,51658.72,865.24,10派2转10,01-22,20061226.0,4.182,11.75,180.966044955,16.5492957746,,4.78122843551
249,300091,金通灵,0.16,138.81,,4.03,,3327.4,138.11,10派0.17转15,04-26,20100625.0,11.712,15.101,28.9361338798,94.38125,,4.77292511065
178,002221,东华能源,0.59,169.91,,13.44,,41113.9,199.08,,04-15,20080306.0,8.178,11.605,41.9051112742,19.6694915254,,4.75073311934
79,002196,方正电机,0.33,371.43,,6.23,,5903.73,479.55,10派1,03-15,20071212.0,8.873,17.932,102.096247042,54.3393939394,,4.69703847001
2476,000531,穗恒运A,0.66,-30.26,,13.55,,45007.67,-30.27,10派1.5,04-09,19940106.0,12.722,11.897,-6.48482942934,18.0257575758,,4.66781745454
1403,300183,东软载波,0.62,-44.18,,13.47,,27599.21,12.52,,04-26,20110222.0,25.684,26.377,2.69817785392,42.5435483871,,4.64016854256
613,002409,雅克科技,0.54,49.78,,6.89,,9028.05,49.78,,03-31,20100525.0,9.851,10.909,10.7400263933,20.2018518519,,4.63499792059
174,600086,东方金钰,0.23,-17.63,,16.41,,30028.7,204.25,,04-28,19970606.0,8.516,12.287,44.2813527478,53.4217391304,,4.61255104746
94,600769,祥龙电业,0.02,566.67,,16.04,,631.21,384.48,,02-02,19961101.0,7.72,14.23,84.3264248705,711.5,,4.55942488479
2905,601168,西部矿业,0.01,-91.67,,0.27,,3037.11,-89.53,10派0.5,04-22,20070712.0,9.056,7.272,-19.6996466431,727.2,,4.54475156951
2580,600811,东方集团,0.39,-38.36,,6.26,,64240.74,-38.36,,04-29,19940106.0,7.289,6.672,-8.46480998765,17.1076923077,,4.53170243112
2697,601008,连云港,0.05,-50.0,,1.67,,5335.57,-48.55,10派0.2,04-21,20070426.0,7.532,6.724,-10.7275624004,134.48,,4.52572524754
245,000716,黑芝麻,0.48,97.11,,7.71,,14913.82,139.62,10派1转10,04-02,19970418.0,6.422,8.449,31.5633758954,17.6020833333,,4.42348120374
153,002289,宇顺电子,-5.88,197.81,,-98.18,,-109807.01,235.73,,04-29,20090903.0,15.036,23.058,53.3519553073,-3.92142857143,,4.41839476439
2871,600019,宝钢股份,0.06,-82.86,,0.9,,101287.17,-82.51,10派0.6,03-31,20001212.0,6.571,5.34,-18.7338304672,89.0,,4.40433151909
97,300118,东方日升,0.5,337.0,,11.3,,32238.79,381.56,,02-23,20100902.0,7.669,14.343,87.0256878341,28.686,,4.38445256218
128,600419,天润乳业,0.55,266.67,,11.7,,5086.08,304.94,,03-29,20010628.0,20.7,35.21,70.0966183575,64.0181818182,,4.35028118539
167,600708,光明地产,0.46,43.92,,8.8,,51027.16,210.34,10派1,04-29,19960606.0,6.431,9.568,48.7793500233,20.8,,4.31207057699
73,300156,神雾环保,0.45,309.09,,10.8,,18121.17,497.15,,04-09,20110107.0,9.218,19.88,115.665003255,44.1777777778,,4.29818861375
2884,600256,广汇能源,0.05,-84.83,,2.3,,24838.8,-84.84,,04-22,20000526.0,8.25,6.621,-19.7454545455,132.42,,4.29668508286
