,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,timeToMarket,start,end,percent,PE,PB,dividend
91,002182,云海金属,0.54,414.82,,13.24,,16930.22,461.79,,03-30,20071113.0,7.97,9.251,16.0727728984,17.1314814815,,28.7311967213
222,300132,青松股份,0.08,200.71,,5.3,,3273.46,200.31,,04-10,20101026.0,10.04,10.74,6.97211155378,134.25,,28.7301771429
3301,600247,ST成城,-0.64,-829.41,,-245.32,,-21447.7,-829.17,,04-29,20001123.0,21.3,15.15,-28.8732394366,-23.671875,,28.717595122
3244,600328,兰太实业,0.19,-309.78,,5.19,,8327.95,-351.47,10派0.59,04-15,20001222.0,14.893,13.061,-12.3010810448,68.7421052632,,28.5722855349
17,600233,圆通速递,0.57,108.44,,27.81,,137193.52,2938.96,10派1.5,04-28,20000608.0,12.437,25.296,103.39310123,44.3789473684,,28.4251073334
271,601137,博威合金,0.37,12.12,,7.19,,18335.04,160.06,,03-28,20110127.0,12.265,12.962,5.68283734203,35.0324324324,,28.165507891
3002,600319,亚星化学,0.08,-107.62,,-18.84,,2678.17,-108.07,,02-18,20010326.0,10.13,9.74,-3.84995064166,121.75,,28.0704897436
3232,002225,濮耐股份,-0.21,-310.0,,-7.45,,-18494.73,-318.52,,04-21,20080425.0,7.585,6.695,-11.7336849044,-31.880952381,,27.1457775281
3259,000791,甘肃电投,-0.11,-351.45,,-2.2,,-10674.05,-429.01,10派0.2,03-31,19971014.0,14.212,11.951,-15.9090909091,-108.645454545,,26.9663428571
3204,002458,益生股份,1.7,-218.88,,49.32,,56215.99,-240.32,,03-21,20100810.0,37.8,34.4,-8.99470899471,20.2352941176,,26.7179294118
3236,300106,西部牧业,-0.26,-285.71,,-5.5,,-5221.47,-325.91,,04-28,20100820.0,18.421,16.114,-12.5237500679,-61.9769230769,,26.0233554832
24,002120,韵达股份,1.32,300.0,,37.8,,117722.43,2263.06,10派1.16899,04-18,20070306.0,22.347,41.913,87.5553765606,31.7522727273,,25.8471848206
3184,000829,天音控股,0.24,-200.0,,10.48,,22342.68,-198.21,,03-23,19971202.0,12.22,11.28,-7.69230769231,47.0,,25.7673
3222,600072,中船科技,-0.08,-270.21,,-1.52,,-4292.95,-291.16,,04-29,19970603.0,19.554,17.34,-11.3224915618,-216.75,,25.7151880759
3298,600555,海航创新,-0.15,-850.0,,-11.57,,-19264.46,-788.22,,04-28,20010328.0,9.02,6.25,-30.7095343681,-41.6666666667,,25.6669472924
3285,000816,智慧农业,-0.1,-600.0,,-4.11,,-13808.06,-603.73,,03-29,19970818.0,8.326,6.36,-23.6127792457,-63.6,,25.5679347915
3263,002417,三元达,-0.39,-454.55,,-26.75,,-10543.58,-458.91,,03-28,20100601.0,19.83,16.25,-18.0534543621,-41.6666666667,,25.4195120111
3270,600875,东方电气,-0.76,-500.0,,-8.07,,-178430.68,-506.38,,03-25,19951010.0,13.55,10.79,-20.36900369,-14.1973684211,,24.8603224638
3238,600368,五洲交通,0.27,-332.26,,7.47,,22215.78,-332.27,10派0.8,03-10,20001221.0,6.487,5.608,-13.5501772776,20.7703703704,,24.5214503982
3295,002528,英飞拓,-0.44,-548.1,,-16.79,,-42083.11,-715.55,,04-27,20101224.0,10.451,7.36,-29.576117118,-16.7272727273,,24.1935071174
